------Generation 0------
Rule  1: b152915111d21, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 81: 616c99f311821, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 82: 152d112859581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: a11231d835198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: f16211a1244c5, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 85: a3273151d1918, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 86: fa13158d8d255, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 87: 3141519515511, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 88: 31619c111d121, Class:  0, CF:0.520612, Len: 13, Fitness_tra: 0
Rule 89: b2f1312153328, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 72711d3b19195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: f14d158181538, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 1332911912525, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 66addd9d18213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 7bb59d5413d1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 711451d59d118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: a324261852c23, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 97: 1dfe351111529, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: b2a23d29c5d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 2111211151112, Class:  1, CF:0.336271, Len: 13, Fitness_tra: 0
Rule100: 4b28189598352, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:5
------Result------
Miss_rate(tra)	:5
Miss_rate(tst)	:9.09091
ARL				:12.25

------Generation 100------
Rule  1: b152915111d21, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  2: 11125131d155a, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  3: 242e25c1599dd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: bd1119e142211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 13ac119112153, Class:  1, CF:0.00297553, Len: 13, Fitness_tra: 0
Rule  6: 78a5132dc95cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 7c12311121552, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  8: d5b2111519511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 28fc11131d3c2, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 10: 1347111858111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 11: 4428111315938, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 211c551111152, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 13: 1da7f12519159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: f118521521521, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: 4861c1e91c285, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1235312151885, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 17: 3fac511184c18, Class:  0, CF:0.334516, Len: 13, Fitness_tra: 0
Rule 18: 1512191edd91c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 3161515155551, Class:  0, CF:0.953521, Len: 13, Fitness_tra: 0
Rule 20: a1a833181d151, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 21: 75a76511c3819, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 1c1115d1ed3e9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 020b008000900, Class:  0, CF:0.379333, Len:  4, Fitness_tra: 0
Rule 24: 69b7e1d555215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: aa3c5593d1118, Class:  1, CF:0.999762, Len: 13, Fitness_tra: 0
Rule 26: 424c1d91511a5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1d2555dc15d98, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 442495d891811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: f164538111552, Class:  1, CF:0.606677, Len: 13, Fitness_tra: 0
Rule 30: 28117115e5358, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1941155d1511d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 11b641211595d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 65b286a21dcc3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 317e181181558, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 111111d515131, Class:  0, CF:0.989293, Len: 13, Fitness_tra: 0
Rule 36: 6179129885185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 0000000000002, Class:  0, CF:0.0697531, Len:  1, Fitness_tra: -70
Rule 38: 2c4111583d651, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 39: 614be93551891, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 113c153111c29, Class:  0, CF:0.600963, Len: 13, Fitness_tra: 0
Rule 41: a941551281315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 1eb312d583151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: ffa151312c811, Class:  0, CF:0.597166, Len: 13, Fitness_tra: 0
Rule 44: 7442d13555535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: b2a813158251c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: f1b1112135e95, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1161311e12125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1164312121521, Class:  0, CF:0.683259, Len: 13, Fitness_tra: 0
Rule 49: 21719e9c1311e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 7da1181155111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 51: 11f1121515c21, Class:  0, CF:0.99556, Len: 13, Fitness_tra: 0
Rule 52: 11a58de311115, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 53: 11b219181d115, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 54: 2cfd152821151, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 55: 45f1111155115, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 56: b2146251112d7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 36f2391122125, Class:  0, CF:0.988579, Len: 13, Fitness_tra: 0
Rule 58: 6311115211115, Class:  0, CF:0.132711, Len: 13, Fitness_tra: 0
Rule 59: b211c51911141, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 60: b115c9838e92d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 4273c11d1d129, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 71115181111d1, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 63: b5f12ee17c151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: a92155528d11d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 727151913519d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: a661831982823, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 67: 4cf8211651b45, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 48f4e11525528, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 2142d21915118, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 70: bc1e255521531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 2422511115118, Class:  0, CF:0.987542, Len: 13, Fitness_tra: 0
Rule 72: 7c1199512115d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 6e295c811515c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: b21c3991851f3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 151151111d551, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 76: 0000000000900, Class:  0, CF:0.773829, Len:  1, Fitness_tra: 71
Rule 77: 11f2311e28115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1c19251155111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 72fd112c45122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 4c1121d838953, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 616c99f311821, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 82: 152d112859581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: a11231d835198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: f16211a1244c5, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 85: a3273151d1918, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 86: fa13158d8d255, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 87: 3141519515511, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 88: 31619c111d121, Class:  0, CF:0.520612, Len: 13, Fitness_tra: 0
Rule 89: b2f1312153328, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 72711d3b19195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: f14d158181538, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 1332911912525, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 66addd9d18213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 7bb59d5413d1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 711451d59d118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: a324261852c23, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 97: 1dfe351111529, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: b2a23d29c5d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 2111211151112, Class:  1, CF:0.336271, Len: 13, Fitness_tra: 0
Rule100: 4b28189598352, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:5
------Result------
Miss_rate(tra)	:5
Miss_rate(tst)	:9.09091
ARL				:12.25

------Generation 200------
Rule  1: b152915111d21, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  2: 11125131d155a, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  3: 242e25c1599dd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: bd1119e142211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 13ac119112153, Class:  1, CF:0.00297553, Len: 13, Fitness_tra: 0
Rule  6: 78a5132dc95cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 7c12311121552, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  8: d5b2111519511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 28fc11131d3c2, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 10: 1347111858111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 11: 4428111315938, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 211c551111152, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 13: 1da7f12519159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: f118521521521, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: 4861c1e91c285, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1235312151885, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 17: 3fac511184c18, Class:  0, CF:0.334516, Len: 13, Fitness_tra: 0
Rule 18: 1512191edd91c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 3161515155551, Class:  0, CF:0.953521, Len: 13, Fitness_tra: 0
Rule 20: a1a833181d151, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 21: 75a76511c3819, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 1c1115d1ed3e9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 020b008000900, Class:  0, CF:0.379333, Len:  4, Fitness_tra: 0
Rule 24: 69b7e1d555215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: aa3c5593d1118, Class:  1, CF:0.999762, Len: 13, Fitness_tra: 0
Rule 26: 424c1d91511a5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1d2555dc15d98, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 442495d891811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: f164538111552, Class:  1, CF:0.606677, Len: 13, Fitness_tra: 0
Rule 30: 28117115e5358, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1941155d1511d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 11b641211595d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 65b286a21dcc3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 317e181181558, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 111111d515131, Class:  0, CF:0.989293, Len: 13, Fitness_tra: 0
Rule 36: 6179129885185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 0000000000002, Class:  0, CF:0.0697531, Len:  1, Fitness_tra: -70
Rule 38: 2c4111583d651, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 39: 614be93551891, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 113c153111c29, Class:  0, CF:0.600963, Len: 13, Fitness_tra: 0
Rule 41: a941551281315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 1eb312d583151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: ffa151312c811, Class:  0, CF:0.597166, Len: 13, Fitness_tra: 0
Rule 44: 7442d13555535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: b2a813158251c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: f1b1112135e95, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1161311e12125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1164312121521, Class:  0, CF:0.683259, Len: 13, Fitness_tra: 0
Rule 49: 21719e9c1311e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 7da1181155111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 51: 11f1121515c21, Class:  0, CF:0.99556, Len: 13, Fitness_tra: 0
Rule 52: 11a58de311115, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 53: 11b219181d115, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 54: 2cfd152821151, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 55: 45f1111155115, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 56: b2146251112d7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 36f2391122125, Class:  0, CF:0.988579, Len: 13, Fitness_tra: 0
Rule 58: 6311115211115, Class:  0, CF:0.132711, Len: 13, Fitness_tra: 0
Rule 59: b211c51911141, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 60: b115c9838e92d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 4273c11d1d129, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 71115181111d1, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 63: b5f12ee17c151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: a92155528d11d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 727151913519d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: a661831982823, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 67: 4cf8211651b45, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 48f4e11525528, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 2142d21915118, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 70: bc1e255521531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 2422511115118, Class:  0, CF:0.987542, Len: 13, Fitness_tra: 0
Rule 72: 7c1199512115d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 6e295c811515c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: b21c3991851f3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 151151111d551, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 76: 0000000000900, Class:  0, CF:0.773829, Len:  1, Fitness_tra: 71
Rule 77: 11f2311e28115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1c19251155111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 72fd112c45122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 4c1121d838953, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 616c99f311821, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 82: 152d112859581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: a11231d835198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: f16211a1244c5, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 85: a3273151d1918, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 86: fa13158d8d255, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 87: 3141519515511, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 88: 31619c111d121, Class:  0, CF:0.520612, Len: 13, Fitness_tra: 0
Rule 89: b2f1312153328, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 72711d3b19195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: f14d158181538, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 1332911912525, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 66addd9d18213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 7bb59d5413d1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 711451d59d118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: a324261852c23, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 97: 1dfe351111529, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: b2a23d29c5d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 2111211151112, Class:  1, CF:0.336271, Len: 13, Fitness_tra: 0
Rule100: 4b28189598352, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:5
------Result------
Miss_rate(tra)	:5
Miss_rate(tst)	:9.09091
ARL				:12.25

------Generation 300------
Rule  1: b152915111d21, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  2: 11125131d155a, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  3: 242e25c1599dd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: bd1119e142211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 13ac119112153, Class:  1, CF:0.00297553, Len: 13, Fitness_tra: 0
Rule  6: 78a5132dc95cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 7c12311121552, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  8: d5b2111519511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 28fc11131d3c2, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 10: 1347111858111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 11: 4428111315938, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 211c551111152, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 13: 1da7f12519159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: f118521521521, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: 4861c1e91c285, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1235312151885, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 17: 3fac511184c18, Class:  0, CF:0.334516, Len: 13, Fitness_tra: 0
Rule 18: 1512191edd91c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 3161515155551, Class:  0, CF:0.953521, Len: 13, Fitness_tra: 0
Rule 20: a1a833181d151, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 21: 75a76511c3819, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 1c1115d1ed3e9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 020b008000900, Class:  0, CF:0.379333, Len:  4, Fitness_tra: 0
Rule 24: 69b7e1d555215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: aa3c5593d1118, Class:  1, CF:0.999762, Len: 13, Fitness_tra: 0
Rule 26: 424c1d91511a5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1d2555dc15d98, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 442495d891811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: f164538111552, Class:  1, CF:0.606677, Len: 13, Fitness_tra: 0
Rule 30: 28117115e5358, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1941155d1511d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 11b641211595d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 65b286a21dcc3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 317e181181558, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 111111d515131, Class:  0, CF:0.989293, Len: 13, Fitness_tra: 0
Rule 36: 6179129885185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 0000000000002, Class:  0, CF:0.0697531, Len:  1, Fitness_tra: -70
Rule 38: 2c4111583d651, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 39: 614be93551891, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 113c153111c29, Class:  0, CF:0.600963, Len: 13, Fitness_tra: 0
Rule 41: a941551281315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 1eb312d583151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: ffa151312c811, Class:  0, CF:0.597166, Len: 13, Fitness_tra: 0
Rule 44: 7442d13555535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: b2a813158251c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: f1b1112135e95, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1161311e12125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1164312121521, Class:  0, CF:0.683259, Len: 13, Fitness_tra: 0
Rule 49: 21719e9c1311e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 7da1181155111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 51: 11f1121515c21, Class:  0, CF:0.99556, Len: 13, Fitness_tra: 0
Rule 52: 11a58de311115, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 53: 11b219181d115, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 54: 2cfd152821151, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 55: 45f1111155115, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 56: b2146251112d7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 36f2391122125, Class:  0, CF:0.988579, Len: 13, Fitness_tra: 0
Rule 58: 6311115211115, Class:  0, CF:0.132711, Len: 13, Fitness_tra: 0
Rule 59: b211c51911141, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 60: b115c9838e92d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 4273c11d1d129, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 71115181111d1, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 63: b5f12ee17c151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: a92155528d11d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 727151913519d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: a661831982823, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 67: 4cf8211651b45, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 48f4e11525528, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 2142d21915118, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 70: bc1e255521531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 2422511115118, Class:  0, CF:0.987542, Len: 13, Fitness_tra: 0
Rule 72: 7c1199512115d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 6e295c811515c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: b21c3991851f3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 151151111d551, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 76: 0000000000900, Class:  0, CF:0.773829, Len:  1, Fitness_tra: 71
Rule 77: 11f2311e28115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1c19251155111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 72fd112c45122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 4c1121d838953, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 616c99f311821, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 82: 152d112859581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: a11231d835198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: f16211a1244c5, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 85: a3273151d1918, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 86: fa13158d8d255, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 87: 3141519515511, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 88: 31619c111d121, Class:  0, CF:0.520612, Len: 13, Fitness_tra: 0
Rule 89: b2f1312153328, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 72711d3b19195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: f14d158181538, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 1332911912525, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 66addd9d18213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 7bb59d5413d1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
