------Generation 0------
Rule  1: bb718a7447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: b3217d4742, Class:  2, CF:0.980032, Len: 10, Fitness_tra: 0
Rule 12: b44413b17b, Class:  4, CF:0.868298, Len: 10, Fitness_tra: 0
Rule 13: 2221ce424b, Class:  0, CF:0.999999, Len: 10, Fitness_tra: 0
Rule 14: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 15: 4b1b517271, Class:  2, CF:0.500574, Len: 10, Fitness_tra: 0
Rule 16: 2112231411, Class:  4, CF:0.00562785, Len: 10, Fitness_tra: 0
Rule 17: 4cbbce7b12, Class:  0, CF:0.989381, Len: 10, Fitness_tra: 0
Rule 18: 7211c3b214, Class:  2, CF:0.656382, Len: 10, Fitness_tra: 0
Rule 19: 2817c67717, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 20: 00b0000740, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 4272c171b1, Class:  0, CF:0.446852, Len: 10, Fitness_tra: 0
Rule 22: 1474517114, Class:  0, CF:0.349419, Len: 10, Fitness_tra: 0
Rule 23: 224111121b, Class:  4, CF:0.445043, Len: 10, Fitness_tra: 0
Rule 24: 41b4454274, Class:  2, CF:0.438252, Len: 10, Fitness_tra: 0
Rule 25: 4b1b262141, Class:  4, CF:0.561036, Len: 10, Fitness_tra: 0
Rule 26: 717b23b721, Class:  4, CF:0.604445, Len: 10, Fitness_tra: 0
Rule 27: 2221162b24, Class:  4, CF:0.999918, Len: 10, Fitness_tra: 0
Rule 28: 0800000000, Class:  0, CF:0.779749, Len:  1, Fitness_tra: 0
Rule 29: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 30: b1bb1e1471, Class:  0, CF:0.219305, Len: 10, Fitness_tra: 0
Rule 31: 1774557b4b, Class:  0, CF:0.809431, Len: 10, Fitness_tra: 0
Rule 32: 17219e1b14, Class:  0, CF:0.949776, Len: 10, Fitness_tra: 0
Rule 33: 73725d47b2, Class:  2, CF:0.636852, Len: 10, Fitness_tra: 0
Rule 34: b7225a4417, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 7217d3b244, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 41b1214172, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 741211b772, Class:  4, CF:0.0841777, Len: 10, Fitness_tra: 0
Rule 38: bb14817741, Class:  0, CF:0.492869, Len: 10, Fitness_tra: 0
Rule 39: 2b471a41bb, Class:  4, CF:0.997486, Len: 10, Fitness_tra: 0
Rule 40: 11218a1121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: b2211f21b2, Class:  4, CF:0.999677, Len: 10, Fitness_tra: 0
Rule 42: 2b71df4177, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 7b441174b7, Class:  4, CF:0.315451, Len: 10, Fitness_tra: 0
Rule 44: 47bb2a7717, Class:  4, CF:0.995358, Len: 10, Fitness_tra: 0
Rule 45: 71228ab447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 4cb12142b4, Class:  4, CF:0.115754, Len: 10, Fitness_tra: 0
Rule 47: 27bbc37171, Class:  0, CF:0.802264, Len: 10, Fitness_tra: 0
Rule 48: 2b27561121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: b424c3b721, Class:  0, CF:0.9594, Len: 10, Fitness_tra: 0
Rule 50: 11b7257bb1, Class:  0, CF:0.346733, Len: 10, Fitness_tra: 0
Rule 51: 2444c62211, Class:  0, CF:0.896479, Len: 10, Fitness_tra: 0
Rule 52: 124219b4bb, Class:  0, CF:0.41554, Len: 10, Fitness_tra: 0
Rule 53: 7bb71f4411, Class:  0, CF:0.396715, Len: 10, Fitness_tra: 0
Rule 54: 14b2512717, Class:  0, CF:0.454114, Len: 10, Fitness_tra: 0
Rule 55: 241bc9bb21, Class:  0, CF:0.976713, Len: 10, Fitness_tra: 0
Rule 56: 41b78e7414, Class:  2, CF:0.413035, Len: 10, Fitness_tra: 0
Rule 57: 7b74197b1b, Class:  0, CF:0.974425, Len: 10, Fitness_tra: 0
Rule 58: 442713bb11, Class:  4, CF:0.837457, Len: 10, Fitness_tra: 0
Rule 59: 787b16b211, Class:  4, CF:0.836538, Len: 10, Fitness_tra: 0
Rule 60: 4147154b21, Class:  0, CF:0.105069, Len: 10, Fitness_tra: 0
Rule 61: 7172861422, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 72471db47b, Class:  4, CF:0.0898396, Len: 10, Fitness_tra: 0
Rule 63: 44178d2474, Class:  0, CF:0.124415, Len: 10, Fitness_tra: 0
Rule 64: 71718e2411, Class:  2, CF:0.882197, Len: 10, Fitness_tra: 0
Rule 65: 112b861274, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 4114137247, Class:  4, CF:0.599993, Len: 10, Fitness_tra: 0
Rule 67: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 68: 11bb21b741, Class:  0, CF:0.287765, Len: 10, Fitness_tra: 0
Rule 69: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 70: 4171232144, Class:  4, CF:0.799049, Len: 10, Fitness_tra: 0
Rule 71: 2777514212, Class:  2, CF:0.622784, Len: 10, Fitness_tra: 0
Rule 72: 14b4c37421, Class:  0, CF:0.938308, Len: 10, Fitness_tra: 0
Rule 73: b1471114bb, Class:  4, CF:0.338097, Len: 10, Fitness_tra: 0
Rule 74: 722129bb22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 1b7bc11b14, Class:  0, CF:0.565985, Len: 10, Fitness_tra: 0
Rule 76: 21bb66b117, Class:  4, CF:0.769572, Len: 10, Fitness_tra: 0
Rule 77: 7b441314b4, Class:  4, CF:0.935822, Len: 10, Fitness_tra: 0
Rule 78: 274116b714, Class:  4, CF:0.985827, Len: 10, Fitness_tra: 0
Rule 79: 227156b221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 81: b7b7a642b2, Class:  4, CF:0.997974, Len: 10, Fitness_tra: 0
Rule 82: 24141a4b4b, Class:  4, CF:0.989914, Len: 10, Fitness_tra: 0
Rule 83: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 84: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 85: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 86: 1211aa1277, Class:  4, CF:0.997046, Len: 10, Fitness_tra: 0
Rule 87: b444af2141, Class:  4, CF:0.821666, Len: 10, Fitness_tra: 0
Rule 88: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 89: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 90: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 91: 74b38e2717, Class:  2, CF:0.267282, Len: 10, Fitness_tra: 0
Rule 92: 0120010047, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 0000005000, Class:  1, CF:  1, Len:  1, Fitness_tra: 1
Rule 94: 28471d7777, Class:  4, CF:0.500315, Len: 10, Fitness_tra: 0
Rule 95: 41741314b4, Class:  4, CF:0.892475, Len: 10, Fitness_tra: 0
Rule 96: bb710e7446, Class:  2, CF:0.988949, Len:  9, Fitness_tra: 0
Rule 97: 4111937b14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 0412117772, Class:  0, CF:0.293689, Len:  9, Fitness_tra: 0
Rule 99: 2b2b112224, Class:  4, CF:0.0369, Len: 10, Fitness_tra: 0
Rule100: 7b170081bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:9.75331
------Result------
Miss_rate(tra)	:9.75331
Miss_rate(tst)	:9.5064
ARL				:8.72727

------Generation 200------
Rule  1: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 3495
Rule  2: 000c000000, Class:  1, CF:0.860027, Len:  1, Fitness_tra: 18
Rule  3: 0000000e00, Class:  2, CF:  1, Len:  1, Fitness_tra: 1
Rule  4: 0000005000, Class:  1, CF:  1, Len:  1, Fitness_tra: 1
Rule  5: bb718a7447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: b17b16b141, Class:  4, CF:0.885531, Len: 10, Fitness_tra: 0
Rule  7: 24b28fb121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 2bb4814471, Class:  2, CF:0.0336496, Len: 10, Fitness_tra: 0
Rule  9: 117b211721, Class:  0, CF:0.367708, Len: 10, Fitness_tra: 0
Rule 10: b7279117b2, Class:  0, CF:0.786924, Len: 10, Fitness_tra: 0
Rule 11: b3217d4742, Class:  2, CF:0.980032, Len: 10, Fitness_tra: 0
Rule 12: b44413b17b, Class:  4, CF:0.868298, Len: 10, Fitness_tra: 0
Rule 13: 2221ce424b, Class:  0, CF:0.999999, Len: 10, Fitness_tra: 0
Rule 14: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 15: 4b1b517271, Class:  2, CF:0.500574, Len: 10, Fitness_tra: 0
Rule 16: 2112231411, Class:  4, CF:0.00562785, Len: 10, Fitness_tra: 0
Rule 17: 4cbbce7b12, Class:  0, CF:0.989381, Len: 10, Fitness_tra: 0
Rule 18: 7211c3b214, Class:  2, CF:0.656382, Len: 10, Fitness_tra: 0
Rule 19: 2817c67717, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 20: 00b0000740, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 4272c171b1, Class:  0, CF:0.446852, Len: 10, Fitness_tra: 0
Rule 22: 1474517114, Class:  0, CF:0.349419, Len: 10, Fitness_tra: 0
Rule 23: 224111121b, Class:  4, CF:0.445043, Len: 10, Fitness_tra: 0
Rule 24: 41b4454274, Class:  2, CF:0.438252, Len: 10, Fitness_tra: 0
Rule 25: 4b1b262141, Class:  4, CF:0.561036, Len: 10, Fitness_tra: 0
Rule 26: 717b23b721, Class:  4, CF:0.604445, Len: 10, Fitness_tra: 0
Rule 27: 2221162b24, Class:  4, CF:0.999918, Len: 10, Fitness_tra: 0
Rule 28: 0800000000, Class:  0, CF:0.779749, Len:  1, Fitness_tra: 0
Rule 29: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 30: b1bb1e1471, Class:  0, CF:0.219305, Len: 10, Fitness_tra: 0
Rule 31: 1774557b4b, Class:  0, CF:0.809431, Len: 10, Fitness_tra: 0
Rule 32: 17219e1b14, Class:  0, CF:0.949776, Len: 10, Fitness_tra: 0
Rule 33: 73725d47b2, Class:  2, CF:0.636852, Len: 10, Fitness_tra: 0
Rule 34: b7225a4417, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 7217d3b244, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 41b1214172, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 741211b772, Class:  4, CF:0.0841777, Len: 10, Fitness_tra: 0
Rule 38: bb14817741, Class:  0, CF:0.492869, Len: 10, Fitness_tra: 0
Rule 39: 2b471a41bb, Class:  4, CF:0.997486, Len: 10, Fitness_tra: 0
Rule 40: 11218a1121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: b2211f21b2, Class:  4, CF:0.999677, Len: 10, Fitness_tra: 0
Rule 42: 2b71df4177, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 7b441174b7, Class:  4, CF:0.315451, Len: 10, Fitness_tra: 0
Rule 44: 47bb2a7717, Class:  4, CF:0.995358, Len: 10, Fitness_tra: 0
Rule 45: 71228ab447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 4cb12142b4, Class:  4, CF:0.115754, Len: 10, Fitness_tra: 0
Rule 47: 27bbc37171, Class:  0, CF:0.802264, Len: 10, Fitness_tra: 0
Rule 48: 2b27561121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: b424c3b721, Class:  0, CF:0.9594, Len: 10, Fitness_tra: 0
Rule 50: 11b7257bb1, Class:  0, CF:0.346733, Len: 10, Fitness_tra: 0
Rule 51: 2444c62211, Class:  0, CF:0.896479, Len: 10, Fitness_tra: 0
Rule 52: 124219b4bb, Class:  0, CF:0.41554, Len: 10, Fitness_tra: 0
Rule 53: 7bb71f4411, Class:  0, CF:0.396715, Len: 10, Fitness_tra: 0
Rule 54: 14b2512717, Class:  0, CF:0.454114, Len: 10, Fitness_tra: 0
Rule 55: 241bc9bb21, Class:  0, CF:0.976713, Len: 10, Fitness_tra: 0
Rule 56: 41b78e7414, Class:  2, CF:0.413035, Len: 10, Fitness_tra: 0
Rule 57: 7b74197b1b, Class:  0, CF:0.974425, Len: 10, Fitness_tra: 0
Rule 58: 442713bb11, Class:  4, CF:0.837457, Len: 10, Fitness_tra: 0
Rule 59: 787b16b211, Class:  4, CF:0.836538, Len: 10, Fitness_tra: 0
Rule 60: 4147154b21, Class:  0, CF:0.105069, Len: 10, Fitness_tra: 0
Rule 61: 7172861422, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 72471db47b, Class:  4, CF:0.0898396, Len: 10, Fitness_tra: 0
Rule 63: 44178d2474, Class:  0, CF:0.124415, Len: 10, Fitness_tra: 0
Rule 64: 71718e2411, Class:  2, CF:0.882197, Len: 10, Fitness_tra: 0
Rule 65: 112b861274, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 4114137247, Class:  4, CF:0.599993, Len: 10, Fitness_tra: 0
Rule 67: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 68: 11bb21b741, Class:  0, CF:0.287765, Len: 10, Fitness_tra: 0
Rule 69: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 70: 4171232144, Class:  4, CF:0.799049, Len: 10, Fitness_tra: 0
Rule 71: 2777514212, Class:  2, CF:0.622784, Len: 10, Fitness_tra: 0
Rule 72: 14b4c37421, Class:  0, CF:0.938308, Len: 10, Fitness_tra: 0
Rule 73: b1471114bb, Class:  4, CF:0.338097, Len: 10, Fitness_tra: 0
Rule 74: 722129bb22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 1b7bc11b14, Class:  0, CF:0.565985, Len: 10, Fitness_tra: 0
Rule 76: 21bb66b117, Class:  4, CF:0.769572, Len: 10, Fitness_tra: 0
Rule 77: 7b441314b4, Class:  4, CF:0.935822, Len: 10, Fitness_tra: 0
Rule 78: 274116b714, Class:  4, CF:0.985827, Len: 10, Fitness_tra: 0
Rule 79: 227156b221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 81: 000000000b, Class:  0, CF:0.914662, Len:  1, Fitness_tra: 6
Rule 82: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 83: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 84: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 85: 0000500000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: b47c6ab121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 88: 0000cd0330, Class:  0, CF:0.900889, Len:  4, Fitness_tra: 4
Rule 89: 0000500000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 91: d1bb1e114b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 40010005e0, Class:  2, CF:  1, Len:  4, Fitness_tra: 0
Rule 93: 23bb737741, Class:  4, CF:0.751882, Len: 10, Fitness_tra: 0
Rule 94: 01b0000e00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 24b71121eb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 000b112000, Class:  1, CF:0.411517, Len:  4, Fitness_tra: 0
Rule 97: b000901700, Class:  0, CF:0.412095, Len:  4, Fitness_tra: 0
Rule 98: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 99: 4c0b006be0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 9000000000, Class:  3, CF:  1, Len:  1, Fitness_tra: 1
------Current------
Miss_rate(tra)	:9.73047
------Result------
Miss_rate(tra)	:9.73047
Miss_rate(tst)	:9.5064
ARL				:8.10959

------Generation 300------
Rule  1: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 3495
Rule  2: 000c000000, Class:  1, CF:0.860027, Len:  1, Fitness_tra: 18
Rule  3: 0000000e00, Class:  2, CF:  1, Len:  1, Fitness_tra: 1
Rule  4: 0000005000, Class:  1, CF:  1, Len:  1, Fitness_tra: 1
Rule  5: bb718a7447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: b17b16b141, Class:  4, CF:0.885531, Len: 10, Fitness_tra: 0
Rule  7: 24b28fb121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 2bb4814471, Class:  2, CF:0.0336496, Len: 10, Fitness_tra: 0
Rule  9: 117b211721, Class:  0, CF:0.367708, Len: 10, Fitness_tra: 0
Rule 10: b7279117b2, Class:  0, CF:0.786924, Len: 10, Fitness_tra: 0
Rule 11: b3217d4742, Class:  2, CF:0.980032, Len: 10, Fitness_tra: 0
Rule 12: b44413b17b, Class:  4, CF:0.868298, Len: 10, Fitness_tra: 0
Rule 13: 2221ce424b, Class:  0, CF:0.999999, Len: 10, Fitness_tra: 0
Rule 14: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 15: 4b1b517271, Class:  2, CF:0.500574, Len: 10, Fitness_tra: 0
Rule 16: 2112231411, Class:  4, CF:0.00562785, Len: 10, Fitness_tra: 0
Rule 17: 4cbbce7b12, Class:  0, CF:0.989381, Len: 10, Fitness_tra: 0
Rule 18: 7211c3b214, Class:  2, CF:0.656382, Len: 10, Fitness_tra: 0
Rule 19: 2817c67717, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 20: 00b0000740, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 4272c171b1, Class:  0, CF:0.446852, Len: 10, Fitness_tra: 0
Rule 22: 1474517114, Class:  0, CF:0.349419, Len: 10, Fitness_tra: 0
Rule 23: 224111121b, Class:  4, CF:0.445043, Len: 10, Fitness_tra: 0
Rule 24: 41b4454274, Class:  2, CF:0.438252, Len: 10, Fitness_tra: 0
Rule 25: 4b1b262141, Class:  4, CF:0.561036, Len: 10, Fitness_tra: 0
Rule 26: 717b23b721, Class:  4, CF:0.604445, Len: 10, Fitness_tra: 0
Rule 27: 2221162b24, Class:  4, CF:0.999918, Len: 10, Fitness_tra: 0
Rule 28: 0800000000, Class:  0, CF:0.779749, Len:  1, Fitness_tra: 0
Rule 29: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 30: b1bb1e1471, Class:  0, CF:0.219305, Len: 10, Fitness_tra: 0
Rule 31: 1774557b4b, Class:  0, CF:0.809431, Len: 10, Fitness_tra: 0
Rule 32: 17219e1b14, Class:  0, CF:0.949776, Len: 10, Fitness_tra: 0
Rule 33: 73725d47b2, Class:  2, CF:0.636852, Len: 10, Fitness_tra: 0
Rule 34: b7225a4417, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 7217d3b244, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 41b1214172, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 741211b772, Class:  4, CF:0.0841777, Len: 10, Fitness_tra: 0
Rule 38: bb14817741, Class:  0, CF:0.492869, Len: 10, Fitness_tra: 0
Rule 39: 2b471a41bb, Class:  4, CF:0.997486, Len: 10, Fitness_tra: 0
Rule 40: 11218a1121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: b2211f21b2, Class:  4, CF:0.999677, Len: 10, Fitness_tra: 0
Rule 42: 2b71df4177, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 7b441174b7, Class:  4, CF:0.315451, Len: 10, Fitness_tra: 0
Rule 44: 47bb2a7717, Class:  4, CF:0.995358, Len: 10, Fitness_tra: 0
Rule 45: 71228ab447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 4cb12142b4, Class:  4, CF:0.115754, Len: 10, Fitness_tra: 0
Rule 47: 27bbc37171, Class:  0, CF:0.802264, Len: 10, Fitness_tra: 0
Rule 48: 2b27561121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: b424c3b721, Class:  0, CF:0.9594, Len: 10, Fitness_tra: 0
Rule 50: 11b7257bb1, Class:  0, CF:0.346733, Len: 10, Fitness_tra: 0
Rule 51: 2444c62211, Class:  0, CF:0.896479, Len: 10, Fitness_tra: 0
Rule 52: 124219b4bb, Class:  0, CF:0.41554, Len: 10, Fitness_tra: 0
Rule 53: 7bb71f4411, Class:  0, CF:0.396715, Len: 10, Fitness_tra: 0
Rule 54: 14b2512717, Class:  0, CF:0.454114, Len: 10, Fitness_tra: 0
Rule 55: 241bc9bb21, Class:  0, CF:0.976713, Len: 10, Fitness_tra: 0
Rule 56: 41b78e7414, Class:  2, CF:0.413035, Len: 10, Fitness_tra: 0
Rule 57: 7b74197b1b, Class:  0, CF:0.974425, Len: 10, Fitness_tra: 0
Rule 58: 442713bb11, Class:  4, CF:0.837457, Len: 10, Fitness_tra: 0
Rule 59: 787b16b211, Class:  4, CF:0.836538, Len: 10, Fitness_tra: 0
Rule 60: 4147154b21, Class:  0, CF:0.105069, Len: 10, Fitness_tra: 0
Rule 61: 7172861422, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 72471db47b, Class:  4, CF:0.0898396, Len: 10, Fitness_tra: 0
Rule 63: 44178d2474, Class:  0, CF:0.124415, Len: 10, Fitness_tra: 0
Rule 64: 71718e2411, Class:  2, CF:0.882197, Len: 10, Fitness_tra: 0
Rule 65: 112b861274, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 4114137247, Class:  4, CF:0.599993, Len: 10, Fitness_tra: 0
Rule 67: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 68: 11bb21b741, Class:  0, CF:0.287765, Len: 10, Fitness_tra: 0
Rule 69: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 70: 4171232144, Class:  4, CF:0.799049, Len: 10, Fitness_tra: 0
Rule 71: 2777514212, Class:  2, CF:0.622784, Len: 10, Fitness_tra: 0
Rule 72: 14b4c37421, Class:  0, CF:0.938308, Len: 10, Fitness_tra: 0
Rule 73: b1471114bb, Class:  4, CF:0.338097, Len: 10, Fitness_tra: 0
Rule 74: 722129bb22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 1b7bc11b14, Class:  0, CF:0.565985, Len: 10, Fitness_tra: 0
Rule 76: 21bb66b117, Class:  4, CF:0.769572, Len: 10, Fitness_tra: 0
Rule 77: 7b441314b4, Class:  4, CF:0.935822, Len: 10, Fitness_tra: 0
Rule 78: 274116b714, Class:  4, CF:0.985827, Len: 10, Fitness_tra: 0
Rule 79: 227156b221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 81: 000000000b, Class:  0, CF:0.914662, Len:  1, Fitness_tra: 6
Rule 82: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 83: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 84: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 85: 0000500000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: b47c6ab121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 88: 0000cd0330, Class:  0, CF:0.900889, Len:  4, Fitness_tra: 4
Rule 89: 0000500000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 91: d1bb1e114b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 40010005e0, Class:  2, CF:  1, Len:  4, Fitness_tra: 0
Rule 93: 23bb737741, Class:  4, CF:0.751882, Len: 10, Fitness_tra: 0
Rule 94: 01b0000e00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 24b71121eb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 000b112000, Class:  1, CF:0.411517, Len:  4, Fitness_tra: 0
Rule 97: b000901700, Class:  0, CF:0.412095, Len:  4, Fitness_tra: 0
Rule 98: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 99: 4c0b006be0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 9000000000, Class:  3, CF:  1, Len:  1, Fitness_tra: 1
------Current------
Miss_rate(tra)	:9.73047
------Result------
Miss_rate(tra)	:9.73047
Miss_rate(tst)	:9.5064
ARL				:8.10959

------Generation 400------
Rule  1: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 3495
Rule  2: 000c000000, Class:  1, CF:0.860027, Len:  1, Fitness_tra: 18
Rule  3: 0000000e00, Class:  2, CF:  1, Len:  1, Fitness_tra: 1
Rule  4: 0000005000, Class:  1, CF:  1, Len:  1, Fitness_tra: 1
Rule  5: bb718a7447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: b17b16b141, Class:  4, CF:0.885531, Len: 10, Fitness_tra: 0
Rule  7: 24b28fb121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 2bb4814471, Class:  2, CF:0.0336496, Len: 10, Fitness_tra: 0
Rule  9: 117b211721, Class:  0, CF:0.367708, Len: 10, Fitness_tra: 0
Rule 10: b7279117b2, Class:  0, CF:0.786924, Len: 10, Fitness_tra: 0
Rule 11: b3217d4742, Class:  2, CF:0.980032, Len: 10, Fitness_tra: 0
Rule 12: b44413b17b, Class:  4, CF:0.868298, Len: 10, Fitness_tra: 0
Rule 13: 2221ce424b, Class:  0, CF:0.999999, Len: 10, Fitness_tra: 0
Rule 14: 0000000000, Class:  0, CF:0.795797, Len:  0, Fitness_tra: 0
Rule 15: 4b1b517271, Class:  2, CF:0.500574, Len: 10, Fitness_tra: 0
Rule 16: 2112231411, Class:  4, CF:0.00562785, Len: 10, Fitness_tra: 0
Rule 17: 4cbbce7b12, Class:  0, CF:0.989381, Len: 10, Fitness_tra: 0
Rule 18: 7211c3b214, Class:  2, CF:0.656382, Len: 10, Fitness_tra: 0
Rule 19: 2817c67717, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 20: 00b0000740, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 4272c171b1, Class:  0, CF:0.446852, Len: 10, Fitness_tra: 0
Rule 22: 1474517114, Class:  0, CF:0.349419, Len: 10, Fitness_tra: 0
Rule 23: 224111121b, Class:  4, CF:0.445043, Len: 10, Fitness_tra: 0
