------Generation 0------
Rule  1: a6a1ac1551181, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 81: 3e11dd1511215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 352211119d351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: b2a3d18555519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 3315dd1d1d159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: afa83519152c3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 21a1112111111, Class:  1, CF:0.140293, Len: 13, Fitness_tra: 0
Rule 87: 4443831cd8595, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 71b5181298115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 15b1218555595, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 27b3215511598, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 63114239111c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 7da5358185c21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 2c42515d11193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 42131551d1511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 616d959d12211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 21b9151518911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 3112251129581, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 98: 11ac614111125, Class:  0, CF:0.155419, Len: 13, Fitness_tra: 0
Rule 99: 4145821818131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 61455d1d8d118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:8.2716
------Result------
Miss_rate(tra)	:8.2716
Miss_rate(tst)	:9.09091
ARL				:10.3913

------Generation 100------
Rule  1: a6a1ac1551181, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  2: 1772813295d52, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 41611d2329911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 72f5151119182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: a1151d1188d81, Class:  1, CF:0.973574, Len: 13, Fitness_tra: 0
Rule  6: f1a1c1318c111, Class:  1, CF:0.914982, Len: 13, Fitness_tra: 2
Rule  7: b14493d851519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1c112d9ddd1dc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 2142c35351221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: b2fd211318111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 11: bbb6851d359dd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1d41518d18511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: b715d5c139cdd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 354d8d85dd591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 1342dd1555521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 15192d5583123, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1115d89131931, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 18: 2331528811283, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: a92d5dd32d188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 0000020000000, Class:  0, CF:0.0093979, Len:  1, Fitness_tra: -118
Rule 21: 337ddd1955181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 25f5558189111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1d11931225112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 9271815115911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 4831528d8157e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 74711115155d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: b276519195551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 13a23d53115c3, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 30: b12d595513125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 12bc1e1519111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: b2b1113c82113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1368915582886, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 721d111111358, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 1eb2d511311cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 75f95255111d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 3af129691c486, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: b27151c125865, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 24298d211551c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 71135118e515c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: b2b3511881111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 711c919213535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1111531954822, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: b4b9d151d1591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 723d2111599d4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: b833598d23575, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 2111513c51351, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 48: a3b81d1151121, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 49: 13b8811311128, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 50: a34c5d5581351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 13ad91123151d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 0009000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 137
Rule 53: 000c300000090, Class:  1, CF:0.332017, Len:  3, Fitness_tra: 17
Rule 54: 722d5cd53c352, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 72b1525818e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 1421ce151d11d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: f378591381112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 63311d5122d13, Class:  0, CF:0.929582, Len: 13, Fitness_tra: 0
Rule 59: 2241119291291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 416d8d2d83928, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: fe41d11215138, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: a9b12d1511518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 316812d151129, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 64: f6323931111ce, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 65: 11f19dd985183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: bc31115d11189, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 2bb1191519513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 1141125851552, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 69: 22761189595d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: b8f1d21181121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: b422e551d1551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 6a115d152181e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: ff62951321211, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 75: b23111112d314, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 76: b169115321171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: f17dd525d9598, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1471529118112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 11b15155d1d28, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: a51518d191551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 3e11dd1511215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 352211119d351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: b2a3d18555519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 3315dd1d1d159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: afa83519152c3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 21a1112111111, Class:  1, CF:0.140293, Len: 13, Fitness_tra: 0
Rule 87: 4443831cd8595, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 71b5181298115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 15b1218555595, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 27b3215511598, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 63114239111c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 7da5358185c21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 2c42515d11193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 42131551d1511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 616d959d12211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 21b9151518911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 3112251129581, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 98: 11ac614111125, Class:  0, CF:0.155419, Len: 13, Fitness_tra: 0
Rule 99: 4145821818131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 61455d1d8d118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:8.2716
------Result------
Miss_rate(tra)	:8.2716
Miss_rate(tst)	:9.09091
ARL				:10.3913

------Generation 200------
Rule  1: a6a1ac1551181, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  2: 1772813295d52, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 41611d2329911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 72f5151119182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: a1151d1188d81, Class:  1, CF:0.973574, Len: 13, Fitness_tra: 0
Rule  6: f1a1c1318c111, Class:  1, CF:0.914982, Len: 13, Fitness_tra: 2
Rule  7: b14493d851519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1c112d9ddd1dc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 2142c35351221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: b2fd211318111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 11: bbb6851d359dd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1d41518d18511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: b715d5c139cdd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 354d8d85dd591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 1342dd1555521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 15192d5583123, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1115d89131931, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 18: 2331528811283, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: a92d5dd32d188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 0000020000000, Class:  0, CF:0.0093979, Len:  1, Fitness_tra: -118
Rule 21: 337ddd1955181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 25f5558189111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1d11931225112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 9271815115911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 4831528d8157e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 74711115155d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: b276519195551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 13a23d53115c3, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 30: b12d595513125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 12bc1e1519111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: b2b1113c82113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1368915582886, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 721d111111358, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 1eb2d511311cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 75f95255111d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 3af129691c486, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: b27151c125865, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 24298d211551c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 71135118e515c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: b2b3511881111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 711c919213535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1111531954822, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: b4b9d151d1591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 723d2111599d4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: b833598d23575, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 2111513c51351, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 48: a3b81d1151121, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 49: 13b8811311128, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 50: a34c5d5581351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 13ad91123151d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 0009000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 137
Rule 53: 000c300000090, Class:  1, CF:0.332017, Len:  3, Fitness_tra: 17
Rule 54: 722d5cd53c352, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 72b1525818e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 1421ce151d11d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: f378591381112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 63311d5122d13, Class:  0, CF:0.929582, Len: 13, Fitness_tra: 0
Rule 59: 2241119291291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 416d8d2d83928, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: fe41d11215138, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: a9b12d1511518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 316812d151129, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 64: f6323931111ce, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 65: 11f19dd985183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: bc31115d11189, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 2bb1191519513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 1141125851552, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 69: 22761189595d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: b8f1d21181121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: b422e551d1551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 6a115d152181e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: ff62951321211, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 75: b23111112d314, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 76: b169115321171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: f17dd525d9598, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1471529118112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 11b15155d1d28, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: a51518d191551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 3e11dd1511215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 352211119d351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: b2a3d18555519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 3315dd1d1d159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: afa83519152c3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 21a1112111111, Class:  1, CF:0.140293, Len: 13, Fitness_tra: 0
Rule 87: 4443831cd8595, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 71b5181298115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 15b1218555595, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 27b3215511598, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 63114239111c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 7da5358185c21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 2c42515d11193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 42131551d1511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 616d959d12211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 21b9151518911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 3112251129581, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 98: 11ac614111125, Class:  0, CF:0.155419, Len: 13, Fitness_tra: 0
Rule 99: 4145821818131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 61455d1d8d118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:8.2716
------Result------
Miss_rate(tra)	:8.2716
Miss_rate(tst)	:9.09091
ARL				:10.3913

------Generation 300------
Rule  1: a6a1ac1551181, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  2: 1772813295d52, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 41611d2329911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 72f5151119182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: a1151d1188d81, Class:  1, CF:0.973574, Len: 13, Fitness_tra: 0
Rule  6: f1a1c1318c111, Class:  1, CF:0.914982, Len: 13, Fitness_tra: 2
Rule  7: b14493d851519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1c112d9ddd1dc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 2142c35351221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: b2fd211318111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 11: bbb6851d359dd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1d41518d18511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: b715d5c139cdd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 354d8d85dd591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 1342dd1555521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 15192d5583123, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1115d89131931, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 18: 2331528811283, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: a92d5dd32d188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 0000020000000, Class:  0, CF:0.0093979, Len:  1, Fitness_tra: -118
Rule 21: 337ddd1955181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 25f5558189111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1d11931225112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 9271815115911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 4831528d8157e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 74711115155d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: b276519195551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 13a23d53115c3, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 30: b12d595513125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 12bc1e1519111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: b2b1113c82113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1368915582886, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 721d111111358, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 1eb2d511311cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 75f95255111d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 3af129691c486, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: b27151c125865, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 24298d211551c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 71135118e515c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: b2b3511881111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 711c919213535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1111531954822, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: b4b9d151d1591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 723d2111599d4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: b833598d23575, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 2111513c51351, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 48: a3b81d1151121, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 49: 13b8811311128, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 50: a34c5d5581351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 13ad91123151d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 0009000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 137
Rule 53: 000c300000090, Class:  1, CF:0.332017, Len:  3, Fitness_tra: 17
Rule 54: 722d5cd53c352, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 72b1525818e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 1421ce151d11d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: f378591381112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 63311d5122d13, Class:  0, CF:0.929582, Len: 13, Fitness_tra: 0
Rule 59: 2241119291291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 416d8d2d83928, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: fe41d11215138, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: a9b12d1511518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 316812d151129, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 64: f6323931111ce, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 65: 11f19dd985183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: bc31115d11189, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 2bb1191519513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 1141125851552, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 69: 22761189595d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: b8f1d21181121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: b422e551d1551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 6a115d152181e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: ff62951321211, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 75: b23111112d314, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 76: b169115321171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: f17dd525d9598, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1471529118112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 11b15155d1d28, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: a51518d191551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 3e11dd1511215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 352211119d351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: b2a3d18555519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 3315dd1d1d159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: afa83519152c3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 21a1112111111, Class:  1, CF:0.140293, Len: 13, Fitness_tra: 0
Rule 87: 4443831cd8595, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 71b5181298115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 15b1218555595, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 27b3215511598, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 63114239111c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 7da5358185c21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 2c42515d11193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 42131551d1511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 616d959d12211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
