------Generation 0------
Rule  1: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 124
Rule 94: ea1, Class:  0, CF:0.694393, Len:  3, Fitness_tra: 1
Rule 95: 0d0, Class:  1, CF:0.465909, Len:  1, Fitness_tra: 0
Rule 96: 307, Class:  1, CF:0.331764, Len:  2, Fitness_tra: 0
Rule 97: 009, Class:  0, CF:0.218391, Len:  1, Fitness_tra: 0
Rule 98: 5a0, Class:  0, CF:0.0795587, Len:  2, Fitness_tra: 0
Rule 99: d50, Class:  1, CF:0.726094, Len:  2, Fitness_tra: 3
Rule100: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:25.4545
------Result------
Miss_rate(tra)	:25.4545
Miss_rate(tst)	:29.0323
ARL				:1.1573

------Generation 100------
Rule  1: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 91
Rule  2: 090, Class:  1, CF:0.493671, Len:  1, Fitness_tra: 3
Rule  3: a30, Class:  1, CF:0.833609, Len:  2, Fitness_tra: 3
Rule  4: 171, Class:  1, CF:0.655154, Len:  3, Fitness_tra: 2
Rule  5: 0a5, Class:  0, CF:0.733333, Len:  2, Fitness_tra: 1
Rule  6: 111, Class:  1, CF:0.575581, Len:  3, Fitness_tra: 1
Rule  7: 121, Class:  1, CF:0.495822, Len:  3, Fitness_tra: 0
Rule  8: 1b4, Class:  1, CF:0.229, Len:  3, Fitness_tra: 0
Rule  9: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 10: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 11: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 12: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 13: 9e4, Class:  1, CF:0.225806, Len:  3, Fitness_tra: 0
Rule 14: 117, Class:  1, CF:0.135565, Len:  3, Fitness_tra: 0
Rule 15: 992, Class:  1, CF:0.373219, Len:  3, Fitness_tra: 0
Rule 16: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 17: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 18: 008, Class:  1, CF:0.0205479, Len:  1, Fitness_tra: 0
Rule 19: 527, Class:  1, CF:0.0903481, Len:  3, Fitness_tra: 0
Rule 20: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 21: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 22: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 23: 144, Class:  1, CF:0.0350935, Len:  3, Fitness_tra: 0
Rule 24: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 25: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 26: 99b, Class:  1, CF:0.347181, Len:  3, Fitness_tra: 0
Rule 27: 500, Class:  1, CF:0.436869, Len:  1, Fitness_tra: 0
Rule 28: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 29: 111, Class:  1, CF:0.575581, Len:  3, Fitness_tra: 0
Rule 30: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 31: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 32: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 33: 522, Class:  1, CF:0.135379, Len:  3, Fitness_tra: 0
Rule 34: 134, Class:  1, CF:0.201283, Len:  3, Fitness_tra: 0
Rule 35: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 36: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 37: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 38: 11b, Class:  1, CF:0.165232, Len:  3, Fitness_tra: 0
Rule 39: 231, Class:  1, CF:0.401349, Len:  3, Fitness_tra: 0
Rule 40: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 41: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 42: 111, Class:  1, CF:0.575581, Len:  3, Fitness_tra: 0
Rule 43: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 44: 337, Class:  1, CF:0.423636, Len:  3, Fitness_tra: 0
Rule 45: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 46: 182, Class:  1, CF:0.0598207, Len:  3, Fitness_tra: 0
Rule 47: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 48: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 49: 91b, Class:  0, CF:0.0511757, Len:  3, Fitness_tra: 0
Rule 50: 51b, Class:  0, CF:0.137165, Len:  3, Fitness_tra: 0
Rule 51: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 52: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 53: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 54: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 55: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 56: 934, Class:  0, CF:0.272908, Len:  3, Fitness_tra: 0
Rule 57: 312, Class:  1, CF:0.205977, Len:  3, Fitness_tra: 0
Rule 58: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 59: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 60: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 61: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 62: 2b1, Class:  1, CF:0.598383, Len:  3, Fitness_tra: 0
Rule 63: d52, Class:  1, CF:0.0901921, Len:  3, Fitness_tra: 0
Rule 64: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 65: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 66: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 67: 2d1, Class:  1, CF:0.523729, Len:  3, Fitness_tra: 0
Rule 68: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 69: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 70: 157, Class:  1, CF:0.0934471, Len:  3, Fitness_tra: 0
Rule 71: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 72: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 73: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 74: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 75: cb4, Class:  0, CF:0.00915558, Len:  3, Fitness_tra: 0
Rule 76: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 77: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 78: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 79: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 80: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 81: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 82: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 83: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 84: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 85: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 86: 008, Class:  1, CF:0.0205479, Len:  0, Fitness_tra: 0
Rule 87: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 88: 500, Class:  1, CF:0.436869, Len:  0, Fitness_tra: 0
Rule 89: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 90: 008, Class:  1, CF:0.0205479, Len:  0, Fitness_tra: 0
Rule 91: d00, Class:  1, CF:0.495057, Len:  1, Fitness_tra: 2
Rule 92: 400, Class:  1, CF:0.445069, Len:  1, Fitness_tra: 0
Rule 93: 0b6, Class:  1, CF:0.749716, Len:  2, Fitness_tra: 28
Rule 94: ea1, Class:  0, CF:0.694393, Len:  3, Fitness_tra: 1
Rule 95: 0d0, Class:  1, CF:0.465909, Len:  1, Fitness_tra: 0
Rule 96: 307, Class:  1, CF:0.331764, Len:  2, Fitness_tra: 0
Rule 97: 009, Class:  0, CF:0.218391, Len:  1, Fitness_tra: 0
Rule 98: 5a0, Class:  0, CF:0.0795587, Len:  2, Fitness_tra: 0
Rule 99: d50, Class:  1, CF:0.726094, Len:  2, Fitness_tra: 3
Rule100: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:25.4545
------Result------
Miss_rate(tra)	:25.4545
Miss_rate(tst)	:29.0323
ARL				:1.1573

------Generation 200------
Rule  1: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 91
Rule  2: 090, Class:  1, CF:0.493671, Len:  1, Fitness_tra: 3
Rule  3: a30, Class:  1, CF:0.833609, Len:  2, Fitness_tra: 3
Rule  4: 171, Class:  1, CF:0.655154, Len:  3, Fitness_tra: 2
Rule  5: 0a5, Class:  0, CF:0.733333, Len:  2, Fitness_tra: 1
Rule  6: 111, Class:  1, CF:0.575581, Len:  3, Fitness_tra: 1
Rule  7: 121, Class:  1, CF:0.495822, Len:  3, Fitness_tra: 0
Rule  8: 1b4, Class:  1, CF:0.229, Len:  3, Fitness_tra: 0
Rule  9: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 10: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 11: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 12: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 13: 9e4, Class:  1, CF:0.225806, Len:  3, Fitness_tra: 0
Rule 14: 117, Class:  1, CF:0.135565, Len:  3, Fitness_tra: 0
Rule 15: 992, Class:  1, CF:0.373219, Len:  3, Fitness_tra: 0
Rule 16: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 17: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 18: 008, Class:  1, CF:0.0205479, Len:  1, Fitness_tra: 0
Rule 19: 527, Class:  1, CF:0.0903481, Len:  3, Fitness_tra: 0
Rule 20: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 21: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 22: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 23: 144, Class:  1, CF:0.0350935, Len:  3, Fitness_tra: 0
Rule 24: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 25: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 26: 99b, Class:  1, CF:0.347181, Len:  3, Fitness_tra: 0
Rule 27: 500, Class:  1, CF:0.436869, Len:  1, Fitness_tra: 0
Rule 28: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 29: 111, Class:  1, CF:0.575581, Len:  3, Fitness_tra: 0
Rule 30: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 31: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 32: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 33: 522, Class:  1, CF:0.135379, Len:  3, Fitness_tra: 0
Rule 34: 134, Class:  1, CF:0.201283, Len:  3, Fitness_tra: 0
Rule 35: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 36: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 37: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 38: 11b, Class:  1, CF:0.165232, Len:  3, Fitness_tra: 0
Rule 39: 231, Class:  1, CF:0.401349, Len:  3, Fitness_tra: 0
Rule 40: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 41: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 42: 111, Class:  1, CF:0.575581, Len:  3, Fitness_tra: 0
Rule 43: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 44: 337, Class:  1, CF:0.423636, Len:  3, Fitness_tra: 0
Rule 45: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 46: 182, Class:  1, CF:0.0598207, Len:  3, Fitness_tra: 0
Rule 47: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 48: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 49: 91b, Class:  0, CF:0.0511757, Len:  3, Fitness_tra: 0
Rule 50: 51b, Class:  0, CF:0.137165, Len:  3, Fitness_tra: 0
Rule 51: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 52: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 53: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 54: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 55: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 56: 934, Class:  0, CF:0.272908, Len:  3, Fitness_tra: 0
Rule 57: 312, Class:  1, CF:0.205977, Len:  3, Fitness_tra: 0
Rule 58: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 59: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 60: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 61: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 62: 2b1, Class:  1, CF:0.598383, Len:  3, Fitness_tra: 0
Rule 63: d52, Class:  1, CF:0.0901921, Len:  3, Fitness_tra: 0
Rule 64: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 65: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 66: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 67: 2d1, Class:  1, CF:0.523729, Len:  3, Fitness_tra: 0
Rule 68: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 69: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 70: 157, Class:  1, CF:0.0934471, Len:  3, Fitness_tra: 0
Rule 71: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 72: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 73: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 74: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 75: cb4, Class:  0, CF:0.00915558, Len:  3, Fitness_tra: 0
Rule 76: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 77: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 78: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 79: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 80: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 81: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 82: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 83: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 84: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 85: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 86: 008, Class:  1, CF:0.0205479, Len:  0, Fitness_tra: 0
Rule 87: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 88: 500, Class:  1, CF:0.436869, Len:  0, Fitness_tra: 0
Rule 89: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 90: 008, Class:  1, CF:0.0205479, Len:  0, Fitness_tra: 0
Rule 91: d00, Class:  1, CF:0.495057, Len:  1, Fitness_tra: 2
Rule 92: 400, Class:  1, CF:0.445069, Len:  1, Fitness_tra: 0
Rule 93: 0b6, Class:  1, CF:0.749716, Len:  2, Fitness_tra: 28
Rule 94: ea1, Class:  0, CF:0.694393, Len:  3, Fitness_tra: 1
Rule 95: 0d0, Class:  1, CF:0.465909, Len:  1, Fitness_tra: 0
Rule 96: 307, Class:  1, CF:0.331764, Len:  2, Fitness_tra: 0
Rule 97: 009, Class:  0, CF:0.218391, Len:  1, Fitness_tra: 0
Rule 98: 5a0, Class:  0, CF:0.0795587, Len:  2, Fitness_tra: 0
Rule 99: d50, Class:  1, CF:0.726094, Len:  2, Fitness_tra: 3
Rule100: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:25.4545
------Result------
Miss_rate(tra)	:25.4545
Miss_rate(tst)	:29.0323
ARL				:1.1573

------Generation 300------
Rule  1: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 91
Rule  2: 090, Class:  1, CF:0.493671, Len:  1, Fitness_tra: 3
Rule  3: a30, Class:  1, CF:0.833609, Len:  2, Fitness_tra: 3
Rule  4: 171, Class:  1, CF:0.655154, Len:  3, Fitness_tra: 2
Rule  5: 0a5, Class:  0, CF:0.733333, Len:  2, Fitness_tra: 1
Rule  6: 111, Class:  1, CF:0.575581, Len:  3, Fitness_tra: 1
Rule  7: 121, Class:  1, CF:0.495822, Len:  3, Fitness_tra: 0
Rule  8: 1b4, Class:  1, CF:0.229, Len:  3, Fitness_tra: 0
Rule  9: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 10: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 11: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 12: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 13: 9e4, Class:  1, CF:0.225806, Len:  3, Fitness_tra: 0
Rule 14: 117, Class:  1, CF:0.135565, Len:  3, Fitness_tra: 0
Rule 15: 992, Class:  1, CF:0.373219, Len:  3, Fitness_tra: 0
Rule 16: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 17: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 18: 008, Class:  1, CF:0.0205479, Len:  1, Fitness_tra: 0
Rule 19: 527, Class:  1, CF:0.0903481, Len:  3, Fitness_tra: 0
Rule 20: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 21: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 22: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 23: 144, Class:  1, CF:0.0350935, Len:  3, Fitness_tra: 0
Rule 24: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 25: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 26: 99b, Class:  1, CF:0.347181, Len:  3, Fitness_tra: 0
Rule 27: 500, Class:  1, CF:0.436869, Len:  1, Fitness_tra: 0
Rule 28: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 29: 111, Class:  1, CF:0.575581, Len:  3, Fitness_tra: 0
Rule 30: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 31: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 32: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 33: 522, Class:  1, CF:0.135379, Len:  3, Fitness_tra: 0
Rule 34: 134, Class:  1, CF:0.201283, Len:  3, Fitness_tra: 0
Rule 35: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 36: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 37: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 38: 11b, Class:  1, CF:0.165232, Len:  3, Fitness_tra: 0
Rule 39: 231, Class:  1, CF:0.401349, Len:  3, Fitness_tra: 0
Rule 40: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 41: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 42: 111, Class:  1, CF:0.575581, Len:  3, Fitness_tra: 0
Rule 43: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 44: 337, Class:  1, CF:0.423636, Len:  3, Fitness_tra: 0
Rule 45: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 46: 182, Class:  1, CF:0.0598207, Len:  3, Fitness_tra: 0
Rule 47: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 48: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 49: 91b, Class:  0, CF:0.0511757, Len:  3, Fitness_tra: 0
Rule 50: 51b, Class:  0, CF:0.137165, Len:  3, Fitness_tra: 0
Rule 51: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 52: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 53: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 54: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 55: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 56: 934, Class:  0, CF:0.272908, Len:  3, Fitness_tra: 0
Rule 57: 312, Class:  1, CF:0.205977, Len:  3, Fitness_tra: 0
Rule 58: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 59: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 60: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 61: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 62: 2b1, Class:  1, CF:0.598383, Len:  3, Fitness_tra: 0
Rule 63: d52, Class:  1, CF:0.0901921, Len:  3, Fitness_tra: 0
Rule 64: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 65: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 66: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 67: 2d1, Class:  1, CF:0.523729, Len:  3, Fitness_tra: 0
Rule 68: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 69: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 70: 157, Class:  1, CF:0.0934471, Len:  3, Fitness_tra: 0
Rule 71: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 72: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 73: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 74: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 75: cb4, Class:  0, CF:0.00915558, Len:  3, Fitness_tra: 0
Rule 76: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 77: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 78: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 79: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 80: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 81: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 82: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 83: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 84: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 85: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 86: 008, Class:  1, CF:0.0205479, Len:  0, Fitness_tra: 0
Rule 87: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 88: 500, Class:  1, CF:0.436869, Len:  0, Fitness_tra: 0
Rule 89: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 90: 008, Class:  1, CF:0.0205479, Len:  0, Fitness_tra: 0
Rule 91: d00, Class:  1, CF:0.495057, Len:  1, Fitness_tra: 2
Rule 92: 400, Class:  1, CF:0.445069, Len:  1, Fitness_tra: 0
Rule 93: 0b6, Class:  1, CF:0.749716, Len:  2, Fitness_tra: 28
Rule 94: ea1, Class:  0, CF:0.694393, Len:  3, Fitness_tra: 1
Rule 95: 0d0, Class:  1, CF:0.465909, Len:  1, Fitness_tra: 0
Rule 96: 307, Class:  1, CF:0.331764, Len:  2, Fitness_tra: 0
Rule 97: 009, Class:  0, CF:0.218391, Len:  1, Fitness_tra: 0
Rule 98: 5a0, Class:  0, CF:0.0795587, Len:  2, Fitness_tra: 0
Rule 99: d50, Class:  1, CF:0.726094, Len:  2, Fitness_tra: 3
Rule100: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:25.4545
------Result------
Miss_rate(tra)	:25.4545
Miss_rate(tst)	:29.0323
ARL				:1.1573

------Generation 400------
Rule  1: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 91
Rule  2: 090, Class:  1, CF:0.493671, Len:  1, Fitness_tra: 3
Rule  3: a30, Class:  1, CF:0.833609, Len:  2, Fitness_tra: 3
Rule  4: 171, Class:  1, CF:0.655154, Len:  3, Fitness_tra: 2
Rule  5: 0a5, Class:  0, CF:0.733333, Len:  2, Fitness_tra: 1
Rule  6: 111, Class:  1, CF:0.575581, Len:  3, Fitness_tra: 1
Rule  7: 121, Class:  1, CF:0.495822, Len:  3, Fitness_tra: 0
Rule  8: 1b4, Class:  1, CF:0.229, Len:  3, Fitness_tra: 0
Rule  9: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 10: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 11: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 12: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 13: 9e4, Class:  1, CF:0.225806, Len:  3, Fitness_tra: 0
Rule 14: 117, Class:  1, CF:0.135565, Len:  3, Fitness_tra: 0
Rule 15: 992, Class:  1, CF:0.373219, Len:  3, Fitness_tra: 0
Rule 16: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 17: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 18: 008, Class:  1, CF:0.0205479, Len:  1, Fitness_tra: 0
Rule 19: 527, Class:  1, CF:0.0903481, Len:  3, Fitness_tra: 0
Rule 20: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 21: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 22: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 23: 144, Class:  1, CF:0.0350935, Len:  3, Fitness_tra: 0
Rule 24: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 25: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 26: 99b, Class:  1, CF:0.347181, Len:  3, Fitness_tra: 0
Rule 27: 500, Class:  1, CF:0.436869, Len:  1, Fitness_tra: 0
Rule 28: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 29: 111, Class:  1, CF:0.575581, Len:  3, Fitness_tra: 0
Rule 30: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
Rule 31: 000, Class:  1, CF:0.476364, Len:  0, Fitness_tra: 0
